close,num_trades
122288.43,26416
122179.89,21958
122306.57,37942
122500.23,21436
122621.42,17983
122477.0,15177
122329.53,20716
122325.6,20260
122232.0,22561
122219.0,32690
122021.73,36853
122100.0,35630
122083.0,29664
121952.62,43690
121865.21,41487
121740.56,45287
121732.47,42614
121854.53,35641
121943.09,26453
122048.0,19819
122243.99,35042
122292.24,25618
122418.0,27925
122495.0,22079
122678.44,33356
122643.98,36429
122522.7,35291
122560.83,37281
122526.87,19689
122430.27,11660
122376.27,17560
122315.99,15299
122324.08,16494
122442.4,29277
122273.56,23551
122267.57,18728
122377.42,21114
122327.82,12171
122208.78,11683
122248.8,10627
122247.0,12991
122129.53,13789
121998.03,29368
122043.01,21657
121973.26,14845
122079.3,15504
122045.23,20261
122005.62,15791
122407.1,51200
122449.99,18545
122385.42,13448
122381.63,29153
122260.01,13397
122000.01,29051
121917.61,57727
121813.83,65194
121791.31,32536
121686.12,43350
121836.27,40866
121719.99,25676
121757.0,18966
121752.5,17114
121747.37,14514
121711.01,16748
121641.99,14242
121574.66,13539
121754.02,14092
121905.0,15387
121959.25,10634
121985.49,21874
122044.22,9159
121892.89,15675
122200.0,16384
122258.62,13844
122190.67,15301
122195.85,12510
122278.0,13643
122287.19,8994
122230.0,8310
122300.0,6756
122391.0,10853
122302.09,12074
122335.6,14508
122157.7,14577
122235.74,11743
122349.44,19268
122377.72,12600
122382.91,7732
123831.61,208184
124031.44,127833
123492.8,105121
124048.45,87566
123776.22,70293
123961.29,53451
124249.04,51655
125172.81,325828
125086.99,108292
125285.72,109643
125127.99,71509
124974.74,46968
124854.84,45571
125000.01,45953
125006.87,51654
124750.0,46916
124713.63,41744
124652.51,38483
124754.83,34675
124595.99,24847
124360.19,37353
123303.9,145364
123020.5,143091
122970.0,106969
122812.38,64087
123028.01,48960
123045.87,62542
123242.82,54947
123464.64,37162
123221.29,60117
122984.97,30533
123085.88,29057
123244.75,31503
123336.8,23832
123161.39,21148
123195.46,20752
123036.01,23651
123034.67,46059
123009.99,24474
122776.11,30216
122803.17,20837
123055.06,34508
123049.13,20818
123265.54,95769
123200.05,58016
123052.68,33497
123057.05,28124
123028.0,47805
123020.01,34979
122999.44,14679
122707.2,46535
122772.18,40679
122591.79,44976
122734.29,43188
123027.14,29668
122705.32,23186
122703.52,25365
122579.43,21340
122729.99,18000
122999.99,44535
123137.14,39531
123237.4,20909
123441.24,36690
123504.06,19570
123482.31,16961
124336.44,95685
123522.55,152876
123347.29,88629
123566.58,60770
123978.95,83211
124035.32,54522
123852.86,54779
123626.0,58243
124110.61,59483
123949.99,47596
123975.45,30349
123839.09,36424
123881.36,32717
123730.98,27162
123580.26,32674
123425.95,57367
123496.12,25035
123586.0,28301
123720.7,39624
124056.73,52414
123947.9,43096
123903.56,41169
123616.23,32288
123390.47,61459
123592.17,33175
123797.75,32090
123846.55,23237
123929.1,30963
123857.26,33926
123955.3,24328
123951.31,31235
124056.73,19558
123978.0,19989
123907.28,38185
124254.33,84396
124215.0,52024
124667.79,90794
124315.01,50747
124556.64,43513
124738.22,59036
124820.0,132429
125031.33,212379
124993.72,171746
124888.67,108406
124530.0,93874
125037.34,63653
125139.59,99925
125000.0,57060
124982.35,64264
125181.25,56377
125455.24,53250
125478.38,78459
125222.01,124427
125284.0,65292
125342.42,51913
125358.35,38647
126011.18,95117
125588.09,88032
125462.55,62217
125410.81,75098
125202.76,44908
125252.06,42095
125211.02,23146
124898.35,30031
124917.11,100374
125097.85,17232
125256.59,35063
124887.42,32331
125039.13,37226
124824.99,32865
124769.07,28627
124658.54,26635
124831.84,41567
124643.26,42119
124900.93,33033
124607.45,43361
124649.84,62306
124699.99,25899
124510.22,40743
124460.26,60702
124259.9,35757
124366.14,36719
124237.93,50800
124329.74,18773
124126.62,39414
124618.43,36827
124500.0,31942
124379.76,38608
124590.3,31744
124414.17,31703
124240.0,26939
123950.94,65013
123890.84,46233
123776.78,47747
123673.91,38166
123667.99,36441
123439.64,58190
123729.56,62649
123861.75,54655
124033.39,44905
124140.81,36479
124117.48,19946
124342.09,34202
124302.0,29656
124282.19,19199
124285.54,24375
124328.36,39575
124453.38,28986
124451.91,33111
124572.5,28771
124917.99,76423
124657.99,63790
124309.5,111516
123891.68,226970
122992.66,199437
122724.91,128717
122725.36,97575
122183.17,194745
121520.01,137909
121846.01,165160
121595.84,85348
121775.34,118581
121684.17,87194
121290.01,97878
121320.47,78554
121130.02,66436
121043.12,91946
120696.02,90528
120895.37,48423
121413.55,77156
121458.0,62520
121637.17,95841
122013.67,52442
122072.8,39570
121943.61,34141
122156.58,49557
122056.11,38981
122016.0,49138
122094.8,46012
121854.49,38829
122011.17,20928
121707.63,38883
121537.81,48484
121332.95,53918
121785.31,49401
121663.4,71981
121914.09,89388
122035.99,100676
121828.56,52927
121950.01,36686
122020.24,50599
121888.0,36125
122048.28,34204
121781.87,47302
121357.01,76504
121374.75,45646
121573.5,61791
121649.76,41998
121900.0,32783
121555.11,45155
121442.15,58187
121374.01,57460
121362.26,54923
121543.55,40438
121784.29,34685
121635.94,60167
121407.86,49313
121597.06,48614
121800.0,67541
122505.99,99219
122381.85,94073
122496.08,57026
122555.01,44553
122516.98,32151
122649.98,52478
122900.51,62186
122934.6,45264
122967.56,48239
122936.9,49476
122884.14,29217
122915.19,52503
122633.0,43599
122631.52,37612
122673.0,51568
122391.74,81466
122599.04,163390
123070.08,182974
122524.39,118452
122320.0,94012
122368.22,76581
122357.33,72452
122189.72,64613
122664.33,83260
122675.78,61006
123051.03,55829
123766.53,125640
123738.84,100878
124033.19,62242
123774.27,100499
123743.27,72267
123460.22,68472
123275.49,56104
123620.01,53053
123450.0,57580
123593.44,45255
123460.87,26392
122856.69,39313
123140.62,42058
123282.72,18245
123277.33,15630
123344.75,25085
123355.06,10589
123200.82,10889
123297.17,19600
123415.79,25644
123306.0,11869
123259.16,31756
123002.8,35239
122839.15,28548
122589.22,57963
122386.76,47086
122548.23,31678
122009.39,66323
121895.93,49330
121617.81,89739
121931.93,56500
122024.57,32735
122038.01,21484
122083.13,37022
122091.76,33300
122144.7,24702
121900.0,25499
121950.15,37502
122100.92,23782
121936.18,30493
122083.28,28436
121957.32,21010
121979.91,37095
121768.17,30173
121906.1,22360
121635.37,43366
121441.39,97194
121261.62,64783
121517.79,55513
121748.18,47913
121813.04,37586
121725.7,33866
122134.71,44831
122170.27,47023
122515.44,38819
122833.01,68176
122737.57,35016
123113.38,59728
123399.12,66005
123563.38,85698
123365.44,78562
123176.24,91037
122415.74,147353
122211.94,152101
121509.58,158198
121315.0,143208
121306.26,95817
120878.85,92200
121147.14,87964
121354.57,74799
121201.22,81040
119819.77,163400
120292.01,154837
120510.0,83238
120974.0,82032
120811.97,82299
120502.28,71304
120649.32,50037
120914.28,68791
120900.82,46893
120951.72,61352
120892.82,49750
120950.5,23610
121109.09,49184
121370.71,31396
121502.36,31271
121461.02,32154
121567.25,33043
121665.52,37469
121686.19,37408
121434.07,43669
121489.3,35571
121662.4,34908
121747.36,39862
121794.35,25909
121745.27,27779
121731.19,41350
121643.42,38693
121623.97,44035
121363.84,50431
121204.01,36586
121059.73,51671
121227.73,42042
121496.62,56122
121026.01,62170
121232.46,69535
121095.71,42525
121234.51,27070
121163.63,43463
121309.52,39492
121583.89,27264
121617.99,45519
121594.94,50193
121378.18,62441
121309.08,48064
121125.51,75824
120932.05,65483
121229.34,62157
121266.48,29059
121631.54,40198
121484.92,44432
121689.97,38827
121314.73,49594
121445.39,32422
121270.01,31818
121496.33,28108
121563.6,34562
121545.35,27621
121554.55,26977
